event_change,start_time,end_time,duration,state,most_implicated_var
389,2017-01-04 23:30:00,2017-01-04 23:30:00,0.0,Degraded,
391,2017-01-04 23:40:00,2017-01-04 23:45:00,0.08333333333333333,Degraded,Cyclone_Inlet_Gas_Temp
393,2017-01-05 00:10:00,2017-01-05 00:10:00,0.0,Degraded,
395,2017-01-05 00:55:00,2017-01-05 00:55:00,0.0,Degraded,
397,2017-01-05 02:50:00,2017-01-05 02:50:00,0.0,Degraded,
399,2017-01-05 03:25:00,2017-01-05 03:25:00,0.0,Degraded,
401,2017-01-05 04:50:00,2017-01-05 04:50:00,0.0,Degraded,
403,2017-01-05 06:10:00,2017-01-05 06:10:00,0.0,Degraded,
405,2017-01-05 06:25:00,2017-01-05 06:30:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
407,2017-01-05 06:55:00,2017-01-05 06:55:00,0.0,Degraded,
409,2017-01-05 08:50:00,2017-01-05 08:50:00,0.0,Degraded,
411,2017-01-05 09:30:00,2017-01-05 09:30:00,0.0,Degraded,
413,2017-01-05 09:40:00,2017-01-05 09:40:00,0.0,Degraded,
415,2017-01-05 10:10:00,2017-01-05 10:10:00,0.0,Degraded,
417,2017-01-05 11:00:00,2017-01-05 11:00:00,0.0,Degraded,
419,2017-01-05 11:35:00,2017-01-05 11:35:00,0.0,Degraded,
421,2017-01-05 13:15:00,2017-01-05 13:15:00,0.0,Degraded,
423,2017-01-05 14:30:00,2017-01-05 14:30:00,0.0,Degraded,
425,2017-01-05 15:25:00,2017-01-05 15:25:00,0.0,Degraded,
427,2017-01-05 17:00:00,2017-01-05 17:00:00,0.0,Degraded,
429,2017-01-05 17:25:00,2017-01-05 17:30:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
431,2017-01-05 18:35:00,2017-01-05 18:35:00,0.0,Degraded,
433,2017-01-05 18:55:00,2017-01-05 18:55:00,0.0,Degraded,
435,2017-01-05 19:05:00,2017-01-05 19:05:00,0.0,Degraded,
437,2017-01-05 21:30:00,2017-01-05 21:30:00,0.0,Degraded,
439,2017-01-05 23:00:00,2017-01-05 23:00:00,0.0,Degraded,
441,2017-01-05 23:45:00,2017-01-05 23:45:00,0.0,Degraded,
443,2017-01-06 00:25:00,2017-01-06 00:25:00,0.0,Degraded,
445,2017-01-06 05:00:00,2017-01-06 05:00:00,0.0,Degraded,
447,2017-01-06 06:45:00,2017-01-06 06:45:00,0.0,Degraded,
449,2017-01-06 08:05:00,2017-01-06 08:05:00,0.0,Degraded,
451,2017-01-06 08:20:00,2017-01-06 08:20:00,0.0,Degraded,
453,2017-01-06 08:55:00,2017-01-06 08:55:00,0.0,Degraded,
455,2017-01-06 09:20:00,2017-01-06 09:25:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
457,2017-01-06 09:45:00,2017-01-06 09:45:00,0.0,Degraded,
459,2017-01-06 10:45:00,2017-01-06 10:45:00,0.0,Degraded,
461,2017-01-06 11:40:00,2017-01-06 11:40:00,0.0,Degraded,
463,2017-01-06 13:10:00,2017-01-06 13:10:00,0.0,Degraded,
465,2017-01-06 16:35:00,2017-01-06 16:35:00,0.0,Degraded,
467,2017-01-06 16:55:00,2017-01-06 16:55:00,0.0,Degraded,
469,2017-01-06 17:35:00,2017-01-06 17:35:00,0.0,Degraded,
471,2017-01-06 20:55:00,2017-01-06 20:55:00,0.0,Degraded,
473,2017-01-06 22:50:00,2017-01-06 22:50:00,0.0,Degraded,
475,2017-01-07 00:40:00,2017-01-07 00:40:00,0.0,Degraded,
477,2017-01-07 02:10:00,2017-01-07 02:10:00,0.0,Degraded,
479,2017-01-07 02:40:00,2017-01-07 02:40:00,0.0,Degraded,
481,2017-01-07 03:40:00,2017-01-07 03:40:00,0.0,Degraded,
483,2017-01-07 05:00:00,2017-01-07 05:00:00,0.0,Degraded,
485,2017-01-07 05:40:00,2017-01-07 05:45:00,0.08333333333333333,Degraded,Cyclone_Inlet_Gas_Temp
487,2017-01-07 06:40:00,2017-01-07 06:40:00,0.0,Degraded,
489,2017-01-07 06:50:00,2017-01-07 06:50:00,0.0,Degraded,
491,2017-01-07 09:10:00,2017-01-07 09:10:00,0.0,Degraded,
493,2017-01-07 10:05:00,2017-01-07 10:15:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
495,2017-01-07 10:25:00,2017-01-07 10:25:00,0.0,Degraded,
497,2017-01-07 11:50:00,2017-01-07 11:50:00,0.0,Degraded,
499,2017-01-07 12:30:00,2017-01-07 12:30:00,0.0,Degraded,
501,2017-01-07 13:20:00,2017-01-07 13:25:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
503,2017-01-07 14:15:00,2017-01-07 14:20:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
505,2017-01-07 14:30:00,2017-01-07 14:30:00,0.0,Degraded,
507,2017-01-07 15:05:00,2017-01-07 15:05:00,0.0,Degraded,
509,2017-01-07 15:15:00,2017-01-07 15:15:00,0.0,Degraded,
511,2017-01-07 16:45:00,2017-01-07 16:45:00,0.0,Degraded,
513,2017-01-07 17:40:00,2017-01-07 17:40:00,0.0,Degraded,
515,2017-01-07 19:10:00,2017-01-07 19:10:00,0.0,Degraded,
517,2017-01-07 19:35:00,2017-01-07 19:35:00,0.0,Degraded,
519,2017-01-07 20:35:00,2017-01-07 20:35:00,0.0,Degraded,
